Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,test_textbox.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,1.5366666666666666,1.0738017999974545,,,,,,,,,,,,0,0,0,9,,,,,0.02507740000146441,,0.01697029999922961,0.02507740000146441,0.02507740000146441,1.1040267999924254,1.5366666666666666,1.0738017999974545,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
Chart,1,1,0,1.5366666666666666,0.25012450001668185,,,,,,,,,,,,0,1,1,6,,,,,1.1199289999785833,,1.108053399977507,1.1199289999785833,1.1199289999785833,1.371203599992441,1.5366666666666666,0.25012450001668185,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
Laptop,2,2,0,1.5366666666666666,0.36872900000889786,,,,,,,,,,,,0,2,2,5,,,,,1.38641429998097,,1.3764057999942452,1.38641429998097,1.38641429998097,1.7605881999770645,1.5366666666666666,0.36872900000889786,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
book,3,3,0,1.5366666666666666,0.13462060000165366,,,,,,,,,,,,0,3,3,0,,,,,1.7794553999847267,,1.7653089999803342,1.7794553999847267,1.7794553999847267,1.9132482999993954,1.5366666666666666,0.13462060000165366,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
phone,4,4,0,1.5366666666666666,0.1186022000038065,,,,,,,,,,,,0,4,4,2,,,,,1.935743799986085,,1.9249634000007063,1.935743799986085,1.935743799986085,2.054413999983808,1.5366666666666666,0.1186022000038065,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
marble,5,5,0,1.5366666666666666,0.13507210000534542,,,,,,,,,,,,0,5,5,3,,,,,2.086326199991163,,2.059203399985563,2.086326199991163,2.086326199991163,2.2036980999982916,1.5366666666666666,0.13507210000534542,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
Keys,6,6,0,1.5366666666666666,0.14424970000982285,,,,,,,,,,,,0,6,6,13,,,,,2.232733899989398,,2.2127130999870133,2.232733899989398,2.232733899989398,2.3716679999779444,1.5366666666666666,0.14424970000982285,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
Case,7,7,0,1.5366666666666666,0.12292180000804365,,,,,,,,,,,,0,7,7,10,,,,,2.3857217999757268,,2.3750434999819845,2.3857217999757268,2.3857217999757268,2.5111194999772124,1.5366666666666666,0.12292180000804365,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
board,8,8,0,1.5366666666666666,0.14274589999695309,,,,,,,,,,,,0,8,8,4,,,,,2.5243064999813214,,2.516365699993912,2.5243064999813214,2.5243064999813214,2.666772899974603,1.5366666666666666,0.14274589999695309,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
Cruise,9,9,0,1.5366666666666666,0.06875989999389276,,,,,,,,,,,,0,9,9,11,,,,,2.6789105999923777,,2.6694888999918476,2.6789105999923777,2.6789105999923777,2.754034199984744,1.5366666666666666,0.06875989999389276,,,,,,,,,,,,,,,,,4,001,2025-10-16_12h59.51.565,priming_exp,,2025.1.1,60.00765697944809,2025-10-16 13h00.03.162437 +0530,
